,code,name
626,002116,中国海诚
627,002117,东港股份
628,002119,康强电子
629,002120,韵达股份
630,002121,科陆电子
631,002122,汇洲智能
632,002123,梦网科技
633,002124,ST天邦
634,002125,湘潭电化
635,002126,银轮股份
636,002127,南极电商
637,002128,电投能源
638,002129,TCL中环
639,002130,沃尔核材
640,002131,利欧股份
641,002132,恒星科技
642,002133,广宇集团
643,002134,天津普林
644,002135,东南网架
645,002136,安 纳 达
646,002137,实益达
647,002138,顺络电子
648,002139,拓邦股份
649,002140,东华科技
650,002141,*ST贤丰
651,002142,宁波银行
652,002144,宏达高科
653,002145,中核钛白
654,002146,荣盛发展
655,002148,北纬科技
656,002149,西部材料
657,002150,通润装备
658,002151,北斗星通
659,002152,广电运通
660,002153,石基信息
661,002154,报 喜 鸟
662,002155,湖南黄金
663,002156,通富微电
664,002157,正邦科技
665,002158,汉钟精机
666,002159,三特索道
667,002160,常铝股份
668,002161,远 望 谷
669,002162,悦心健康
670,002163,海南发展
671,002164,宁波东力
672,002165,红 宝 丽
673,002166,莱茵生物
674,002167,东方锆业
675,002168,ST惠程
676,002169,智光电气
677,002170,芭田股份
678,002171,楚江新材
679,002172,澳洋健康
680,002173,创新医疗
681,002174,游族网络
682,002175,东方智造
683,002176,江特电机
684,002177,御银股份
685,002178,延华智能
686,002179,中航光电
687,002180,纳思达
688,002181,粤 传 媒
689,002182,宝武镁业
690,002183,怡 亚 通
691,002184,海得控制
692,002185,华天科技
693,002186,全 聚 德
694,002187,广百股份
695,002188,中天服务
696,002189,中光学
697,002190,成飞集成
698,002191,劲嘉股份
699,002192,融捷股份
700,002193,如意集团
701,002194,武汉凡谷
702,002195,岩山科技
703,002196,方正电机
704,002197,ST证通
705,002198,嘉应制药
706,002199,*ST东晶
707,002200,ST交投
708,002201,九鼎新材
709,002202,金风科技
710,002203,海亮股份
711,002204,大连重工
712,002205,国统股份
713,002206,海 利 得
714,002207,准油股份
715,002208,合肥城建
716,002209,达 意 隆
717,002210,飞马国际
718,002211,宏达新材
719,002212,天融信
720,002213,大为股份
721,002214,大立科技
722,002215,诺 普 信
723,002216,三全食品
724,002217,*ST合泰
725,002218,拓日新能
726,002219,新里程
727,002221,东华能源
728,002222,福晶科技
729,002223,鱼跃医疗
730,002224,三 力 士
731,002225,濮耐股份
732,002226,江南化工
733,002227,奥 特 迅
734,002228,合兴包装
735,002229,鸿博股份
736,002230,科大讯飞
737,002231,奥维通信
738,002232,启明信息
739,002233,塔牌集团
740,002234,民和股份
